timestamp,heart_rate,,,,,
2024-11-22T09:47:24,170,,,,,
2024-11-22T09:47:50,169,,,,,
2024-11-22T09:47:51,168,,,,,
2024-11-22T09:47:54,167,,,,,
2024-11-22T09:47:55,166,,,,,
2024-11-22T09:47:56,165,,,,,
2024-11-22T09:47:57,164,,,,,
2024-11-22T09:47:58,163,,,,,
2024-11-22T09:48:04,164,,,,,
2024-11-22T09:48:06,163,,,,,
2024-11-22T09:48:08,164,,,,,
2024-11-22T09:48:09,163,,,,,
2024-11-22T09:48:13,162,,,,,
2024-11-22T09:48:15,161,,,,,
2024-11-22T09:48:18,160,,,,,
2024-11-22T09:48:20,159,,,,,
2024-11-22T09:48:29,158,,,,,
2024-11-22T09:48:32,159,,,,,
2024-11-22T09:48:35,160,,,,,
2024-11-22T09:48:38,161,,,,,
2024-11-22T09:48:41,162,,,,,
2024-11-22T09:48:43,161,,,,,
2024-11-22T09:48:56,160,,,,,
2024-11-22T09:48:57,159,,,,,
2024-11-22T09:48:58,158,,,,,
2024-11-22T09:48:59,159,,,,,
2024-11-22T09:49:01,158,,,,,
2024-11-22T09:49:02,157,,,,,
2024-11-22T09:49:03,156,,,,,
2024-11-22T09:49:08,155,,,,,
2024-11-22T09:49:09,156,,,,,
2024-11-22T09:49:12,155,,,,,
2024-11-22T09:49:38,156,,,,,
2024-11-22T09:49:40,157,,,,,
2024-11-22T09:49:51,156,,,,,
2024-11-22T09:49:55,155,,,,,
2024-11-22T09:50:01,154,,,,,
2024-11-22T09:50:04,153,,,,,
2024-11-22T09:50:07,152,,,,,
2024-11-22T09:50:12,151,,,,,
2024-11-22T09:50:16,150,,,,,
2024-11-22T09:50:21,149,,,,,
2024-11-22T09:50:23,148,,,,,
2024-11-22T09:50:24,147,,,,,
2024-11-22T09:50:26,146,,,,,
2024-11-22T09:50:32,145,,,,,
2024-11-22T09:50:35,144,,,,,
2024-11-22T09:50:40,143,,,,,
2024-11-22T09:50:42,144,,,,,
2024-11-22T09:50:45,143,,,,,
2024-11-22T09:50:52,144,,,,,
2024-11-22T09:50:55,145,,,,,
2024-11-22T09:50:59,146,,,,,
2024-11-22T09:51:02,147,,,,,
2024-11-22T09:51:14,146,,,,,
